images,labels
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.04.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.37.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.12.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.04.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.41 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.08.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.40.jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.24.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.08.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.13 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.32.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.56.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.57.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.33.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.09.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.25.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.31 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.41.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.09.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 22.12.13.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.29.jpeg,
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.17.36.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.05.jpeg,1
./Desktop/mercadona_dataset/LIVE/samsung_lives/photo_2023-08-13 20.18.13.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.20.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.36.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.48.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.32.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.24.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.19.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.09.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.20.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.08.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.35.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.25.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.53.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.37.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.49.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.23.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.33.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.13.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.03.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.05.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.40.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.56 (1).jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.15.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.28.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.02.56.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.52.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.42.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.57.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.29.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.39.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.04.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.00.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.53.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.00.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.45.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.41.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.49.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.12.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.13.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.40.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.48.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.17.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.01.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.01.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.05.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.56.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.28.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.16.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.43.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.53.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.32 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.29.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.14.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.02.57.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.04.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.57.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.12.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.00.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.45.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.32.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.44.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.22.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.48.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.20.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.24.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.52.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.34.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.09.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.21.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.08.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.18.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.25.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.21.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.37.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.49.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.34.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.42.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.07.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.52.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.15.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.50.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.05.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.38.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.03.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.02.50.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.13.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.54.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.58.11.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.44.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.51.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.59.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.02.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.06.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.10.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.55.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.10.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.06.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.47.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.39.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.29 (1).jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.29.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.14.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.26.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.30.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.34.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.06.09.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.04.22.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.59.30.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.03.26.jpeg,
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.58.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-06 23.05.23.jpeg,1
./Desktop/mercadona_dataset/LIVE/honor_live/photo_2023-08-13 16.57.55.jpeg,1
